Time ,AvePressure [N/sq cm],MaxPressure [N/sq cm],MinPressure [N/sq cm],Force [N],Contact Area [sq cm],Centroid X [cm],Centroid Y [cm],Centroid Z [cm]
566.925,-0.074,0.061,-0.287,0.05,1.8,1.1,2.4,0
566.959,-0.074,0.061,-0.287,0.05,1.8,1.2,2.4,0
566.993,-0.074,0.061,-0.287,0.05,1.8,1.2,2.4,0
567.027,-0.074,0.061,-0.288,0.05,1.8,1.2,2.4,0
567.061,-0.074,0.061,-0.288,0.05,1.8,1.2,2.4,0
567.095,-0.074,0.061,-0.29,0.05,1.8,1.2,2.4,0
567.13,-0.074,0.061,-0.29,0.05,1.8,1.2,2.4,0
567.164,-0.074,0.061,-0.29,0.05,1.8,1.2,2.4,0
567.198,-0.074,0.061,-0.29,0.05,1.8,1.2,2.4,0
567.232,-0.074,0.061,-0.291,0.05,1.8,1.2,2.4,0
567.266,-0.074,0.063,-0.292,0.05,1.8,1.2,2.4,0
567.3,-0.074,0.065,-0.29,0.05,1.8,1.2,2.3,0
567.335,-0.074,0.061,-0.288,0.05,1.8,1.2,2.3,0
567.369,-0.074,0.06,-0.29,0.05,1.8,1.1,2.4,0
567.403,-0.074,0.06,-0.292,0.05,1.8,1.1,2.4,0
567.437,-0.074,0.06,-0.29,0.05,1.8,1.1,2.3,0
567.471,-0.074,0.058,-0.289,0.04,1.8,1.2,2.4,0
567.505,-0.074,0.058,-0.29,0.04,1.8,1.2,2.4,0
567.54,-0.074,0.061,-0.29,0.05,1.8,1.1,2.3,0
567.574,-0.074,0.063,-0.289,0.05,1.8,1.2,2.4,0
567.608,-0.074,0.06,-0.288,0.05,1.8,1.2,2.4,0
567.642,-0.074,0.058,-0.287,0.05,1.8,1.2,2.4,0
567.676,-0.074,0.056,-0.287,0.05,1.8,1.3,2.4,0
567.71,-0.075,0.055,-0.287,0.04,1.8,1.3,2.4,0
567.745,-0.075,0.055,-0.287,0.05,1.8,1.3,2.4,0
567.779,-0.075,0.055,-0.287,0.05,1.8,1.4,2.4,0
567.813,-0.075,0.055,-0.287,0.05,1.8,1.4,2.4,0
567.847,-0.075,0.055,-0.287,0.05,1.8,1.4,2.4,0
567.881,-0.075,0.058,-0.287,0.05,1.8,1.3,2.3,0
567.915,-0.075,0.061,-0.288,0.05,1.8,1.3,2.3,0
567.95,-0.075,0.061,-0.288,0.05,1.8,1.3,2.3,0
567.984,-0.075,0.061,-0.288,0.05,1.8,1.3,2.4,0
568.018,-0.075,0.058,-0.288,0.05,1.8,1.4,2.4,0
568.052,-0.075,0.055,-0.288,0.04,1.8,1.4,2.4,0
568.086,-0.075,0.056,-0.288,0.05,1.8,1.4,2.4,0
568.12,-0.075,0.058,-0.287,0.05,1.8,1.4,2.3,0
568.155,-0.075,0.058,-0.287,0.05,1.8,1.4,2.4,0
568.189,-0.075,0.058,-0.288,0.05,1.8,1.3,2.5,0
568.223,-0.075,0.06,-0.288,0.05,1.8,1.3,2.5,0
568.257,-0.075,0.06,-0.289,0.05,1.8,1.3,2.5,0
568.291,-0.075,0.055,-0.29,0.05,1.8,1.3,2.7,0
568.326,-0.075,0.051,-0.289,0.04,1.8,1.4,2.8,0
568.36,-0.075,0.051,-0.288,0.04,1.8,1.3,2.8,0
568.394,-0.075,0.051,-0.287,0.04,1.8,1.3,2.9,0
568.428,-0.075,0.051,-0.287,0.04,1.8,1.4,2.8,0
568.462,-0.075,0.051,-0.287,0.04,1.8,1.4,2.8,0
568.496,-0.075,0.053,-0.287,0.04,1.8,1.4,2.8,0
568.531,-0.074,0.053,-0.287,0.04,1.8,1.4,2.7,0
568.565,-0.074,0.053,-0.287,0.04,1.8,1.4,2.7,0
568.599,-0.074,0.053,-0.288,0.05,1.8,1.4,2.6,0
568.633,-0.074,0.053,-0.288,0.05,1.8,1.4,2.6,0
568.667,-0.074,0.053,-0.287,0.05,1.8,1.4,2.6,0
568.701,-0.074,0.053,-0.287,0.05,1.8,1.4,2.6,0
568.736,-0.074,0.055,-0.288,0.05,1.8,1.4,2.6,0
568.77,-0.074,0.056,-0.289,0.05,1.8,1.3,2.6,0
568.804,-0.074,0.058,-0.289,0.05,1.8,1.3,2.6,0
568.838,-0.074,0.061,-0.29,0.05,1.8,1.2,2.6,0
568.872,-0.074,0.063,-0.29,0.05,1.8,1.2,2.6,0
568.906,-0.074,0.065,-0.29,0.05,2.2,1.3,2.5,0
568.941,-0.074,0.066,-0.291,0.05,2.2,1.3,2.4,0
568.975,-0.074,0.066,-0.291,0.05,2.2,1.3,2.3,0
569.009,-0.074,0.066,-0.29,0.06,2.2,1.3,2.2,0
569.043,-0.074,0.066,-0.289,0.06,2.2,1.4,2.2,0
569.077,-0.074,0.068,-0.289,0.06,2.2,1.4,2.1,0
569.111,-0.074,0.068,-0.289,0.06,2.2,1.4,2.1,0
569.146,-0.074,0.068,-0.289,0.06,2.2,1.4,2.1,0
569.18,-0.074,0.07,-0.289,0.06,2.2,1.3,2.1,0
569.214,-0.074,0.072,-0.287,0.06,1.8,1.3,2.1,0
569.248,-0.074,0.073,-0.287,0.06,1.8,1.3,2.1,0
569.282,-0.074,0.075,-0.287,0.06,1.8,1.2,2,0
569.316,-0.074,0.072,-0.287,0.06,1.8,1.2,2.1,0
569.351,-0.074,0.068,-0.287,0.06,1.8,1.2,2.2,0
569.385,-0.074,0.066,-0.288,0.05,1.8,1.2,2.2,0
569.419,-0.074,0.066,-0.287,0.05,1.8,1.2,2.2,0
569.453,-0.074,0.065,-0.287,0.05,2.2,1.3,2.2,0
569.487,-0.074,0.065,-0.288,0.05,1.8,1.3,2.2,0
569.521,-0.074,0.068,-0.289,0.05,1.8,1.3,2.2,0
569.556,-0.074,0.07,-0.289,0.06,1.8,1.3,2.2,0
569.59,-0.074,0.07,-0.289,0.06,1.8,1.3,2.1,0
569.624,-0.074,0.07,-0.29,0.06,1.8,1.2,2.1,0
569.658,-0.074,0.07,-0.29,0.06,2.2,1.2,2.2,0
569.692,-0.074,0.07,-0.289,0.05,1.8,1.2,2.2,0
569.726,-0.074,0.07,-0.288,0.05,1.8,1.2,2.2,0
569.761,-0.074,0.07,-0.288,0.05,1.8,1.2,2.2,0
569.795,-0.074,0.072,-0.288,0.06,1.8,1.2,2.2,0
569.829,-0.074,0.072,-0.287,0.06,1.8,1.2,2.2,0
569.863,-0.074,0.073,-0.287,0.06,1.8,1.2,2.1,0
569.897,-0.074,0.075,-0.288,0.06,1.8,1.2,2.1,0
569.932,-0.074,0.073,-0.288,0.06,1.8,1.2,2.1,0
569.966,-0.074,0.072,-0.288,0.06,1.8,1.2,2.1,0
570,-0.074,0.073,-0.287,0.06,1.8,1.2,2,0
570.034,-0.075,0.073,-0.287,0.06,1.8,1.2,2,0
570.068,-0.075,0.073,-0.287,0.06,1.8,1.2,2,0
570.102,-0.075,0.073,-0.288,0.06,1.8,1.2,2,0
570.137,-0.075,0.07,-0.288,0.05,1.8,1.2,2,0
570.171,-0.075,0.068,-0.288,0.05,1.8,1.3,2.1,0
570.205,-0.075,0.07,-0.287,0.06,1.8,1.3,2,0
570.239,-0.075,0.072,-0.288,0.06,1.8,1.3,2,0
570.273,-0.075,0.073,-0.288,0.06,1.8,1.2,2,0
570.307,-0.075,0.073,-0.289,0.06,1.8,1.2,2,0
570.342,-0.075,0.075,-0.289,0.06,1.8,1.2,1.9,0
570.376,-0.075,0.075,-0.29,0.06,1.8,1.2,1.9,0
570.41,-0.075,0.072,-0.29,0.06,1.8,1.2,2,0
570.444,-0.075,0.07,-0.29,0.06,1.8,1.2,2,0
570.478,-0.075,0.073,-0.291,0.06,1.8,1.2,2,0
570.512,-0.075,0.075,-0.29,0.06,1.8,1.2,1.9,0
570.547,-0.075,0.075,-0.29,0.06,1.8,1.2,1.9,0
570.581,-0.074,0.075,-0.288,0.06,1.8,1.2,1.9,0
570.615,-0.075,0.077,-0.287,0.06,1.8,1.2,1.9,0
570.649,-0.075,0.077,-0.287,0.06,1.8,1.2,1.9,0
570.683,-0.075,0.075,-0.287,0.06,1.8,1.2,1.9,0
570.717,-0.075,0.075,-0.287,0.06,1.8,1.2,1.9,0
570.752,-0.075,0.072,-0.286,0.06,1.8,1.3,1.9,0
570.786,-0.075,0.07,-0.287,0.06,1.8,1.3,2,0
570.82,-0.075,0.072,-0.287,0.06,1.8,1.3,1.9,0
570.854,-0.075,0.073,-0.288,0.06,1.8,1.2,1.9,0
570.888,-0.075,0.075,-0.289,0.06,1.8,1.2,1.9,0
570.922,-0.075,0.077,-0.289,0.06,1.8,1.2,1.9,0
570.957,-0.074,0.077,-0.288,0.06,1.8,1.2,1.9,0
570.991,-0.074,0.077,-0.288,0.06,1.8,1.2,1.9,0
571.025,-0.074,0.078,-0.288,0.06,1.8,1.2,1.9,0
571.059,-0.074,0.078,-0.287,0.06,1.8,1.2,1.9,0
571.093,-0.074,0.077,-0.287,0.06,1.8,1.2,1.9,0
571.127,-0.074,0.077,-0.287,0.06,1.8,1.2,1.9,0
571.162,-0.074,0.075,-0.287,0.06,1.8,1.2,1.9,0
571.196,-0.074,0.073,-0.287,0.06,1.8,1.2,1.9,0
571.23,-0.074,0.077,-0.287,0.06,1.8,1.2,1.9,0
571.264,-0.074,0.078,-0.287,0.06,1.8,1.2,1.9,0
571.298,-0.074,0.075,-0.288,0.06,1.8,1.2,1.9,0
571.332,-0.074,0.073,-0.29,0.06,1.8,1.3,1.9,0
571.367,-0.074,0.073,-0.29,0.06,1.8,1.3,1.9,0
571.401,-0.074,0.075,-0.289,0.06,1.8,1.3,1.9,0
571.435,-0.074,0.075,-0.288,0.06,1.8,1.3,1.9,0
571.469,-0.074,0.075,-0.288,0.06,1.8,1.3,1.9,0
571.503,-0.074,0.077,-0.287,0.06,1.8,1.3,1.9,0
571.537,-0.074,0.077,-0.288,0.06,1.8,1.3,1.9,0
571.572,-0.074,0.078,-0.288,0.06,1.8,1.2,1.9,0
571.606,-0.074,0.08,-0.288,0.06,1.8,1.2,1.9,0
571.64,-0.074,0.08,-0.288,0.06,1.8,1.2,1.9,0
571.674,-0.074,0.08,-0.288,0.06,1.8,1.2,1.9,0
571.708,-0.074,0.082,-0.288,0.06,1.8,1.2,1.9,0
571.743,-0.074,0.082,-0.289,0.06,1.8,1.2,1.9,0
571.777,-0.074,0.083,-0.289,0.07,2.2,1.2,1.8,0
571.811,-0.074,0.085,-0.289,0.07,2.2,1.2,1.8,0
571.845,-0.074,0.082,-0.289,0.06,2.2,1.2,1.8,0
571.879,-0.074,0.08,-0.288,0.06,1.8,1.2,1.8,0
571.913,-0.074,0.082,-0.287,0.06,1.8,1.2,1.8,0
571.948,-0.074,0.082,-0.286,0.06,1.8,1.2,1.8,0
571.982,-0.074,0.083,-0.285,0.06,1.8,1.2,1.8,0
572.016,-0.074,0.083,-0.287,0.06,1.8,1.2,1.8,0
572.05,-0.074,0.082,-0.288,0.06,2.2,1.2,1.8,0
572.084,-0.074,0.08,-0.289,0.06,2.2,1.2,1.8,0
572.118,-0.074,0.08,-0.289,0.06,2.2,1.3,1.9,0
572.153,-0.074,0.08,-0.288,0.06,2.2,1.3,1.9,0
572.187,-0.074,0.08,-0.287,0.06,2.2,1.2,1.9,0
572.221,-0.074,0.08,-0.287,0.06,2.2,1.2,1.9,0
572.255,-0.074,0.08,-0.287,0.06,2.2,1.2,1.9,0
572.289,-0.074,0.08,-0.287,0.06,2.2,1.2,1.9,0
572.323,-0.074,0.08,-0.287,0.06,2.2,1.2,1.9,0
572.358,-0.074,0.078,-0.287,0.06,1.8,1.2,1.9,0
572.392,-0.074,0.078,-0.288,0.06,1.8,1.2,1.9,0
572.426,-0.074,0.078,-0.287,0.06,1.8,1.2,2,0
572.46,-0.074,0.077,-0.287,0.06,1.8,1.2,2,0
572.494,-0.074,0.077,-0.287,0.06,2.2,1.3,2,0
572.528,-0.074,0.075,-0.287,0.06,2.2,1.3,2,0
572.563,-0.074,0.073,-0.287,0.06,1.8,1.3,2,0
572.597,-0.074,0.073,-0.287,0.06,1.8,1.3,2,0
572.631,-0.074,0.073,-0.287,0.06,1.8,1.2,2,0
572.665,-0.074,0.072,-0.287,0.06,1.8,1.2,2.1,0
572.699,-0.074,0.072,-0.288,0.06,1.8,1.3,2.1,0
572.733,-0.074,0.072,-0.289,0.06,1.8,1.3,2.1,0
572.768,-0.074,0.072,-0.288,0.06,1.8,1.3,2,0
572.802,-0.074,0.072,-0.288,0.06,1.8,1.3,2,0
572.836,-0.074,0.072,-0.288,0.06,1.8,1.3,2,0
572.87,-0.074,0.07,-0.289,0.06,1.8,1.3,2.1,0
572.904,-0.074,0.068,-0.29,0.06,1.8,1.3,2.1,0
572.938,-0.074,0.07,-0.29,0.06,1.8,1.3,2.1,0
572.973,-0.074,0.072,-0.29,0.06,1.8,1.2,2.1,0
573.007,-0.074,0.07,-0.29,0.06,1.8,1.3,2.1,0
573.041,-0.074,0.07,-0.29,0.06,1.8,1.3,2.1,0
573.075,-0.074,0.068,-0.29,0.06,1.8,1.3,2.1,0
573.109,-0.074,0.066,-0.288,0.06,1.8,1.3,2.2,0
573.143,-0.074,0.07,-0.287,0.06,1.8,1.2,2.1,0
573.178,-0.074,0.072,-0.287,0.05,1.8,1.2,2.1,0
573.212,-0.074,0.07,-0.287,0.05,1.8,1.2,2.2,0
573.246,-0.074,0.068,-0.287,0.05,1.8,1.2,2.2,0
573.28,-0.074,0.072,-0.287,0.06,1.8,1.2,2.2,0
573.314,-0.074,0.073,-0.287,0.06,1.8,1.2,2.1,0
573.349,-0.074,0.073,-0.287,0.06,1.8,1.2,2,0
573.383,-0.074,0.073,-0.287,0.06,1.8,1.2,2,0
573.417,-0.074,0.073,-0.288,0.06,1.8,1.2,2,0
573.451,-0.074,0.075,-0.287,0.06,1.8,1.2,2,0
573.485,-0.074,0.07,-0.287,0.06,1.8,1.2,2,0
573.519,-0.074,0.068,-0.287,0.06,1.8,1.2,2,0
573.554,-0.074,0.066,-0.287,0.06,2.2,1.5,2.5,0
573.588,-0.074,0.084,-0.287,0.08,2.2,2.3,4,0
573.622,-0.074,0.156,-0.287,0.11,2.2,2.7,4.8,0
573.656,-0.074,0.205,-0.287,0.12,2.2,2.9,5.2,0
573.69,-0.074,0.269,-0.287,0.14,2.2,3.1,5.6,0
573.724,-0.073,0.312,-0.288,0.16,2.2,3.2,5.8,0
573.759,-0.073,0.354,-0.289,0.17,2.2,3.3,5.9,0
573.793,-0.073,0.382,-0.288,0.19,2.5,3.3,6,0
573.827,-0.073,0.413,-0.288,0.21,2.5,3.4,6,0
573.861,-0.073,0.434,-0.289,0.23,2.9,3.4,6.1,0
573.895,-0.072,0.464,-0.29,0.25,2.9,3.5,6.2,0
573.929,-0.072,0.483,-0.288,0.28,2.9,3.5,6.3,0
573.964,-0.072,0.505,-0.287,0.3,3.2,3.5,6.4,0
573.998,-0.072,0.519,-0.288,0.33,3.2,3.6,6.5,0
574.032,-0.072,0.534,-0.289,0.35,3.2,3.6,6.5,0
574.066,-0.072,0.542,-0.288,0.35,3.6,3.6,6.5,0
574.1,-0.072,0.539,-0.287,0.35,3.6,3.6,6.6,0
574.134,-0.072,0.537,-0.287,0.34,3.6,3.6,6.5,0
574.169,-0.072,0.539,-0.287,0.34,3.6,3.6,6.5,0
574.203,-0.072,0.54,-0.287,0.34,3.6,3.6,6.5,0
574.237,-0.072,0.541,-0.287,0.35,3.6,3.6,6.5,0
574.271,-0.072,0.542,-0.288,0.35,3.6,3.6,6.5,0
574.305,-0.071,0.545,-0.289,0.36,3.6,3.6,6.5,0
574.339,-0.071,0.548,-0.288,0.37,3.6,3.6,6.5,0
574.374,-0.071,0.55,-0.288,0.37,3.6,3.6,6.6,0
574.408,-0.071,0.552,-0.289,0.37,3.6,3.6,6.6,0
574.442,-0.071,0.548,-0.29,0.37,3.6,3.6,6.5,0
574.476,-0.071,0.545,-0.289,0.36,3.6,3.6,6.5,0
574.51,-0.071,0.539,-0.288,0.35,3.6,3.6,6.5,0
574.544,-0.071,0.536,-0.287,0.35,3.6,3.6,6.5,0
574.579,-0.071,0.534,-0.287,0.34,3.6,3.6,6.5,0
574.613,-0.071,0.532,-0.287,0.34,3.6,3.6,6.5,0
574.647,-0.071,0.53,-0.288,0.34,3.6,3.6,6.5,0
574.681,-0.071,0.528,-0.288,0.34,3.2,3.6,6.4,0
574.715,-0.071,0.527,-0.289,0.33,3.2,3.6,6.5,0
574.749,-0.071,0.526,-0.288,0.33,3.2,3.6,6.5,0
574.784,-0.071,0.527,-0.287,0.33,3.2,3.6,6.4,0
574.818,-0.071,0.528,-0.287,0.34,3.2,3.6,6.4,0
574.852,-0.071,0.535,-0.288,0.34,3.2,3.6,6.4,0
574.886,-0.071,0.54,-0.287,0.35,3.2,3.6,6.5,0
574.92,-0.071,0.541,-0.287,0.35,3.2,3.6,6.5,0
574.954,-0.071,0.542,-0.287,0.35,3.6,3.6,6.5,0
574.989,-0.071,0.541,-0.287,0.35,3.6,3.6,6.5,0
575.023,-0.071,0.54,-0.287,0.35,3.6,3.6,6.5,0
575.057,-0.071,0.539,-0.287,0.35,3.6,3.6,6.5,0
575.091,-0.071,0.538,-0.287,0.35,3.6,3.6,6.5,0
575.125,-0.071,0.539,-0.287,0.35,3.6,3.6,6.5,0
575.16,-0.071,0.54,-0.287,0.36,3.6,3.6,6.5,0
575.194,-0.071,0.542,-0.286,0.36,3.6,3.6,6.5,0
575.228,-0.071,0.544,-0.287,0.36,3.6,3.6,6.5,0
575.262,-0.071,0.542,-0.288,0.36,3.6,3.6,6.5,0
575.296,-0.071,0.54,-0.288,0.36,3.6,3.6,6.5,0
575.33,-0.071,0.541,-0.288,0.36,3.6,3.6,6.5,0
575.365,-0.071,0.542,-0.288,0.36,3.6,3.6,6.5,0
575.399,-0.071,0.541,-0.288,0.36,3.6,3.6,6.5,0
575.433,-0.071,0.541,-0.288,0.36,3.6,3.6,6.5,0
575.467,-0.071,0.54,-0.288,0.36,3.6,3.6,6.5,0
575.501,-0.071,0.54,-0.287,0.36,3.6,3.6,6.5,0
575.535,-0.071,0.542,-0.287,0.37,3.6,3.6,6.5,0
575.57,-0.071,0.543,-0.287,0.37,3.6,3.6,6.5,0
575.604,-0.071,0.544,-0.288,0.37,3.6,3.6,6.5,0
575.638,-0.071,0.545,-0.287,0.37,3.6,3.6,6.5,0
575.672,-0.071,0.542,-0.287,0.36,3.6,3.6,6.5,0
575.706,-0.071,0.54,-0.286,0.36,3.6,3.6,6.5,0
575.74,-0.071,0.537,-0.285,0.36,3.6,3.6,6.5,0
575.775,-0.071,0.536,-0.286,0.36,3.2,3.6,6.5,0
575.809,-0.071,0.535,-0.286,0.35,3.2,3.6,6.5,0
575.843,-0.071,0.535,-0.286,0.36,3.2,3.6,6.5,0
575.877,-0.071,0.537,-0.286,0.36,3.2,3.6,6.5,0
575.911,-0.071,0.539,-0.287,0.36,3.2,3.6,6.5,0
575.945,-0.071,0.537,-0.287,0.36,3.2,3.6,6.5,0
575.98,-0.071,0.536,-0.287,0.36,3.2,3.6,6.5,0
576.014,-0.071,0.531,-0.287,0.35,3.2,3.6,6.4,0
576.048,-0.071,0.528,-0.287,0.35,3.2,3.6,6.4,0
576.082,-0.071,0.525,-0.287,0.34,3.2,3.6,6.4,0
576.116,-0.071,0.522,-0.287,0.34,3.2,3.6,6.4,0
576.15,-0.071,0.515,-0.287,0.34,3.2,3.6,6.4,0
576.185,-0.071,0.51,-0.287,0.32,3.2,3.6,6.4,0
576.219,-0.072,0.418,-0.288,0.27,3.2,3.5,6.2,0
576.253,-0.072,0.357,-0.288,0.2,2.9,3.2,5.8,0
576.287,-0.073,0.224,-0.288,0.14,2.2,2.9,5.1,0
576.321,-0.073,0.135,-0.288,0.1,2.2,2.6,4.4,0
576.355,-0.074,0.073,-0.288,0.08,2.2,2.1,3.4,0
576.39,-0.074,0.075,-0.287,0.07,2.2,1.7,2.5,0
576.424,-0.074,0.077,-0.287,0.06,1.8,1.4,1.8,0
576.458,-0.074,0.077,-0.287,0.06,1.8,1.4,1.8,0
576.492,-0.074,0.077,-0.288,0.06,1.8,1.4,1.8,0
576.526,-0.074,0.077,-0.289,0.06,1.8,1.4,1.7,0
576.56,-0.074,0.077,-0.289,0.06,1.8,1.4,1.7,0
576.595,-0.074,0.077,-0.288,0.06,1.8,1.4,1.7,0
576.629,-0.074,0.075,-0.287,0.06,1.8,1.4,1.8,0
576.663,-0.074,0.073,-0.288,0.06,2.2,1.4,1.8,0
576.697,-0.074,0.077,-0.289,0.06,2.2,1.4,1.7,0
576.731,-0.074,0.078,-0.287,0.07,2.2,1.4,1.7,0
576.766,-0.074,0.078,-0.287,0.07,2.2,1.4,1.7,0
576.8,-0.074,0.077,-0.288,0.07,2.2,1.4,1.7,0
576.834,-0.074,0.078,-0.289,0.06,1.8,1.4,1.8,0
576.868,-0.074,0.08,-0.289,0.07,2.2,1.4,1.7,0
576.902,-0.074,0.082,-0.289,0.07,2.2,1.3,1.7,0
576.936,-0.074,0.082,-0.288,0.06,2.2,1.3,1.7,0
576.971,-0.074,0.082,-0.287,0.07,2.2,1.3,1.7,0
577.005,-0.074,0.082,-0.288,0.07,1.8,1.3,1.7,0
577.039,-0.074,0.083,-0.289,0.07,1.8,1.3,1.7,0
577.073,-0.074,0.083,-0.288,0.06,1.8,1.3,1.6,0
577.107,-0.074,0.082,-0.288,0.06,1.8,1.3,1.7,0
577.141,-0.074,0.082,-0.288,0.06,1.8,1.3,1.7,0
577.176,-0.074,0.08,-0.288,0.06,1.8,1.3,1.7,0
577.21,-0.074,0.078,-0.289,0.06,1.8,1.3,1.7,0
577.244,-0.074,0.08,-0.29,0.07,1.8,1.3,1.7,0
577.278,-0.074,0.082,-0.29,0.07,2.2,1.3,1.7,0
577.312,-0.074,0.08,-0.29,0.07,2.2,1.3,1.8,0
577.346,-0.074,0.078,-0.289,0.07,1.8,1.3,1.8,0
577.381,-0.074,0.078,-0.288,0.06,1.8,1.3,1.8,0
577.415,-0.074,0.078,-0.288,0.06,1.8,1.3,1.8,0
577.449,-0.074,0.078,-0.288,0.06,1.8,1.3,1.8,0
577.483,-0.074,0.078,-0.288,0.07,1.8,1.3,1.8,0
577.517,-0.074,0.082,-0.287,0.07,1.8,1.3,1.8,0
577.551,-0.074,0.083,-0.288,0.07,1.8,1.3,1.7,0
577.586,-0.074,0.083,-0.289,0.07,2.2,1.3,1.7,0
577.62,-0.074,0.083,-0.288,0.07,2.5,1.4,2,0
577.654,-0.074,0.083,-0.287,0.09,2.2,2.1,3.5,0
577.688,-0.073,0.132,-0.287,0.11,2.2,2.4,4.1,0
577.722,-0.073,0.192,-0.287,0.13,2.2,2.7,4.6,0
577.756,-0.073,0.232,-0.287,0.15,2.5,2.9,5,0
577.791,-0.072,0.286,-0.287,0.18,2.9,3.1,5.5,0
577.825,-0.072,0.321,-0.287,0.22,2.9,3.3,5.9,0
577.859,-0.072,0.359,-0.287,0.25,2.9,3.4,6.1,0
577.893,-0.072,0.384,-0.287,0.28,2.9,3.5,6.2,0
577.927,-0.072,0.407,-0.287,0.3,2.9,3.5,6.4,0
577.961,-0.071,0.423,-0.287,0.32,2.9,3.6,6.5,0
577.996,-0.071,0.434,-0.287,0.33,2.9,3.6,6.5,0
578.03,-0.071,0.441,-0.288,0.34,2.9,3.6,6.6,0
578.064,-0.071,0.443,-0.288,0.35,2.9,3.6,6.6,0
578.098,-0.071,0.444,-0.289,0.34,2.9,3.6,6.6,0
578.132,-0.071,0.444,-0.29,0.35,2.9,3.6,6.6,0
578.166,-0.071,0.444,-0.29,0.35,2.9,3.6,6.6,0
578.201,-0.071,0.447,-0.29,0.35,2.9,3.6,6.6,0
578.235,-0.071,0.448,-0.289,0.35,2.9,3.6,6.6,0
578.269,-0.071,0.451,-0.287,0.36,2.9,3.6,6.5,0
578.303,-0.071,0.453,-0.287,0.36,2.9,3.6,6.6,0
578.337,-0.071,0.458,-0.287,0.36,2.9,3.6,6.6,0
578.372,-0.071,0.462,-0.287,0.37,2.9,3.6,6.6,0
578.406,-0.071,0.466,-0.288,0.37,2.9,3.6,6.6,0
578.44,-0.071,0.468,-0.289,0.37,2.9,3.6,6.7,0
578.474,-0.071,0.47,-0.29,0.38,2.9,3.6,6.6,0
578.508,-0.071,0.471,-0.29,0.38,2.9,3.6,6.6,0
578.542,-0.071,0.471,-0.29,0.38,2.9,3.6,6.6,0
578.577,-0.071,0.471,-0.29,0.38,2.9,3.6,6.6,0
578.611,-0.071,0.47,-0.29,0.38,2.9,3.6,6.6,0
578.645,-0.071,0.47,-0.288,0.38,2.9,3.6,6.7,0
578.679,-0.071,0.472,-0.287,0.38,2.9,3.7,6.7,0
578.713,-0.071,0.473,-0.288,0.38,2.9,3.7,6.7,0
578.747,-0.071,0.478,-0.289,0.38,2.9,3.7,6.7,0
578.782,-0.071,0.48,-0.288,0.39,2.9,3.7,6.7,0
578.816,-0.071,0.484,-0.287,0.4,2.9,3.7,6.7,0
578.85,-0.071,0.486,-0.288,0.4,2.9,3.7,6.7,0
578.884,-0.071,0.486,-0.289,0.4,3.2,3.7,6.7,0
578.918,-0.071,0.486,-0.289,0.4,3.2,3.7,6.7,0
578.952,-0.071,0.483,-0.289,0.4,2.9,3.7,6.7,0
578.987,-0.071,0.48,-0.288,0.39,2.9,3.7,6.7,0
579.021,-0.071,0.481,-0.288,0.39,2.9,3.7,6.7,0
579.055,-0.071,0.481,-0.288,0.39,2.9,3.7,6.7,0
579.089,-0.071,0.479,-0.288,0.39,2.9,3.7,6.7,0
579.123,-0.071,0.478,-0.289,0.39,2.9,3.7,6.7,0
579.157,-0.071,0.475,-0.289,0.39,2.9,3.7,6.7,0
579.192,-0.071,0.472,-0.289,0.39,2.9,3.7,6.7,0
579.226,-0.071,0.468,-0.289,0.38,2.9,3.7,6.7,0
579.26,-0.071,0.465,-0.29,0.38,2.9,3.6,6.7,0
579.294,-0.071,0.46,-0.29,0.38,2.9,3.6,6.6,0
579.328,-0.071,0.457,-0.29,0.37,2.9,3.6,6.6,0
579.362,-0.071,0.449,-0.29,0.37,2.9,3.6,6.6,0
579.397,-0.071,0.444,-0.29,0.36,2.9,3.6,6.6,0
579.431,-0.071,0.433,-0.289,0.35,2.9,3.6,6.5,0
579.465,-0.071,0.425,-0.29,0.32,2.9,3.5,6.4,0
579.499,-0.072,0.321,-0.29,0.26,2.9,3.4,6.2,0
579.533,-0.072,0.253,-0.289,0.18,2.9,3.1,5.6,0
579.567,-0.073,0.15,-0.289,0.12,2.5,2.6,4.3,0
579.602,-0.073,0.082,-0.289,0.09,2.2,2.2,3.4,0
579.636,-0.074,0.082,-0.289,0.07,2.2,1.8,2.4,0
579.67,-0.074,0.082,-0.288,0.06,2.2,1.4,1.5,0
579.704,-0.074,0.083,-0.288,0.07,2.2,1.4,1.5,0
579.738,-0.074,0.085,-0.288,0.07,2.2,1.4,1.5,0
579.772,-0.074,0.085,-0.288,0.07,2.2,1.4,1.5,0
579.807,-0.074,0.083,-0.288,0.07,2.2,1.4,1.5,0
579.841,-0.074,0.082,-0.289,0.07,2.2,1.4,1.5,0
579.875,-0.074,0.082,-0.289,0.07,2.2,1.4,1.6,0
579.909,-0.074,0.083,-0.289,0.07,2.2,1.3,1.5,0
579.943,-0.074,0.085,-0.288,0.07,2.2,1.3,1.5,0
579.977,-0.074,0.087,-0.287,0.07,2.2,1.3,1.5,0
580.012,-0.074,0.089,-0.287,0.07,2.2,1.3,1.5,0
580.046,-0.074,0.089,-0.287,0.07,2.2,1.3,1.5,0
580.08,-0.074,0.089,-0.288,0.07,2.2,1.4,1.5,0
580.114,-0.074,0.089,-0.289,0.07,2.2,1.4,1.5,0
580.148,-0.074,0.089,-0.287,0.07,2.2,1.4,1.5,0
